Route;1999/00;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13
331;717005;745686;809765;923689;910632;881401;886295;876844;895949;954826;994795;1039264;1098246;1055294
406;0;128305;836304;873431;905026;943243;994632;1002077;956821;992270;1018236;1071824;1114045;1054446
T033;0;0;0;0;0;1171661;1235055;1239389;1284070;1505886;1665305;1665364;1735106;1053310
R11;1051993;1064256;1084523;1097251;1052915;1021482;998419;914287;921735;1023726;1033719;1007145;1036273;1041956
H20;561325;704823;705804;733561;739033;730439;889986;885527;940273;1000831;1005294;1007757;1049044;1034328
215;853190;846645;846420;929367;917735;977193;965726;872399;910580;994936;988234;1042115;1060933;1024542
356;0;0;345;198218;434682;661974;782920;831913;839082;877025;930933;923769;997117;1011721
492;656095;803294;844210;838079;841578;851987;845942;826385;780068;860148;872823;929477;982989;997054
N8;328505;405889;447662;534624;589627;632452;700247;789195;903438;943047;885663;921069;960663;990340
N18;429203;482492;582033;620340;711323;804098;839215;847135;827783;789286;824438;916205;1009372;986454
395;47867;96041;46622;48183;45764;57923;66362;2900;0;0;448117;891103;990321;982988
H28;701185;708599;754225;832828;836413;843934;960712;1017010;978221;1082292;1066462;1024444;1017118;955442
462;625879;664380;502246;666406;724927;732266;790398;755628;755006;848739;839492;901716;960599;953748
R1;1009792;1017353;839326;855738;888859;844743;829848;806084;847291;937823;909468;871487;941942;946266
290;885306;925713;727647;723847;744598;766717;796162;813389;822159;915128;903786;933020;934364;944113
N155;435812;481663;539366;593298;607762;666461;698014;737601;756909;785279;866031;891573;950579;932474
N73;381651;422219;427014;443125;457234;534634;566129;646616;626369;647754;646584;641636;781215;909105
H13;593369;592578;579849;536452;534987;586415;632316;643032;622662;732187;783733;823755;897813;883503
413;789041;773721;729731;758015;719461;734883;727128;760926;781866;855899;868772;869920;874992;871038
W12;795859;600801;665366;654243;613366;648544;749332;750371;760889;748975;709947;807642;859025;869835
233;680732;700634;720411;738192;729100;749499;768769;751148;728764;781987;785242;810228;885852;863866
396;617951;710469;729580;700454;667267;691639;738593;736478;757265;809586;793971;826017;854504;861424
W9;619418;794464;778540;774537;758938;698360;706506;704696;708432;763322;822151;821350;875342;852736
419;0;222152;698019;740288;899887;899049;963178;978333;910723;842420;846632;887824;890874;850255
298;444214;527045;500822;633507;721328;705174;751537;774974;776821;814857;807753;806104;788640;847877
B15;438141;459403;447387;472559;572521;830435;850949;820840;816044;870230;779629;794574;790655;828820
N279;431086;454896;449768;472325;512479;575489;670076;726677;760917;749311;770135;807585;841532;826459
T031;0;0;0;0;0;1076101;1007453;1002535;1039311;1211943;1274978;1278803;1318224;825617
A10;628524;673856;614660;625346;572381;541255;579685;609483;674877;723123;675812;692900;752563;814934
411;504902;555648;600393;625835;661030;695787;719894;794710;794837;817336;841288;841063;886199;813249
470;0;0;0;0;331350;566947;625349;661858;666409;719928;746754;758542;819351;812915
B12;500787;515638;495887;506476;485010;422326;425564;404256;416548;508412;797403;796060;798584;802710
384;772845;732282;710851;634857;636527;631851;636644;638181;651659;723446;761187;761231;795796;802560
H26;355631;425986;423770;406414;480954;483758;508725;559606;651490;679200;698753;727572;812666;798629
465;592483;599368;563729;610163;643841;666424;775554;699933;657021;721358;728355;746143;786816;790267
N98;137210;161277;298295;407997;555834;708723;790540;795597;796705;755989;748657;787865;800554;778142
129;2104457;2178118;2016662;2171778;2211915;479755;0;472874;639546;764987;723314;755606;789947;777338
N87;0;0;0;0;0;0;0;591078;721297;724605;761270;784037;811654;772527
499;28275;42354;51098;279143;447967;496395;579369;629273;632524;695731;709061;703203;699142;766472
S4;541940;529084;535810;510222;530746;523570;456380;516401;628932;690642;692721;696112;751589;760836
38X;0;0;0;0;0;0;0;0;0;0;0;0;17461;755634
317;348782;371249;359211;365617;552179;653321;681987;691943;655222;758849;817827;753785;770734;749457
E11;0;0;0;543630;668184;665405;649472;643951;741713;792918;760294;742414;765751;726900
